claim_id,policy_number,claim_number,sum_insured,product,agent,class_of_business,risk_type,loss_date,client_type,renewal_frequency,primary_cause,secondary_cause,branch,target
ID_LN1II3YRJXAK,pol000006091,claim0003962,500000.0,prod00015,ag00226,cob00010,rt00023,2021-03-23,ct0001,rf0005,pc0007,sc00024,br00002,173520.0
ID_EKCM25JUSW1F,pol000010138,claim0012030,0.0,prod00008,ag00068,cob00013,rt00050,2018-12-08,ct0001,rf0002,pc0012,sc00032,br00007,1789.8
ID_LY5RQJYOF7E5,pol000010385,claim0012610,5000.0,prod00005,ag00068,cob00009,rt00032,2018-10-16,ct0003,rf0002,pc0002,sc00003,br00007,1500.72
ID_TFN5Q3H9T1GN,pol000008956,claim0009922,39000.0,prod00005,ag00226,cob00009,rt00032,2018-08-17,ct0003,rf0002,pc0007,sc00021,br00001,1686.52
ID_VM022CYFZWSP,pol000006006,claim0003027,550000.0,prod00015,ag00064,cob00034,rt00023,2019-09-18,ct0001,rf0002,pc0007,sc00023,br00002,39231.94
ID_NUYQMD09CWOZ,pol000007676,claim0006564,43500.0,prod00012,ag00021,cob00016,rt00015,2018-05-22,ct0001,rf0001,pc0011,sc00048,br00001,450.0
ID_P8RV76XRZLQ4,pol000005967,claim0002706,10333185.0,prod00015,ag00037,cob00034,rt00023,2020-07-12,ct0001,rf0005,pc0007,sc00023,br00002,14196.87
ID_0AULRVEMUN7X,pol000007607,claim0010652,13800.0,prod00021,ag00226,cob00027,rt00013,2020-06-02,ct0003,rf0005,pc0004,sc00017,br00001,0.0
ID_6IVQJJKFF2M1,pol000008248,claim0008991,0.0,prod00028,ag00037,cob00009,rt00033,2018-05-30,ct0003,rf0001,pc0007,sc00023,br00001,100.0
ID_6SFJ6R2CARMY,pol000006679,claim0005043,40000.0,prod00005,ag00226,cob00009,rt00032,2019-03-16,ct0001,rf0002,pc0007,sc00023,br00002,1432.68
ID_71IGVEH6LVWY,pol000006502,claim0004867,6000.0,prod00005,ag00226,cob00009,rt00032,2018-05-17,ct0003,rf0001,pc0007,sc00023,br00002,0.0
ID_WIPJWC0ESS0I,pol000007690,claim0006713,29400000.0,prod00012,ag00068,cob00016,rt00015,2021-03-27,ct0001,rf0002,pc0011,sc00049,br00001,10125.0
ID_RBZ6ETN5FMWK,pol000007832,claim0007803,18000.0,prod00015,ag00037,cob00034,rt00023,2018-09-01,ct0001,rf0001,pc0007,sc00021,br00001,2376.0
ID_9ZJJYAXXV3M7,pol000008005,claim0008705,244000.0,prod00015,ag00083,cob00010,rt00024,2021-03-08,ct0001,rf0002,pc0007,sc00024,br00001,244000.0
ID_5XTUKWW6UGH1,pol000008943,claim0009907,5000.0,prod00005,ag00064,cob00009,rt00032,2018-11-24,ct0003,rf0001,pc0007,sc00023,br00001,0.0
ID_BN9T7VFQ1INK,pol000007690,claim0011147,3600000.0,prod00012,ag00068,cob00016,rt00015,2020-08-06,ct0001,rf0002,pc0005,sc00019,br00001,0.0
ID_U95YFWMSWQLX,pol000005830,claim0001121,100000.0,prod00015,ag00037,cob00034,rt00023,2018-08-13,ct0001,rf0003,pc0007,sc00023,br00002,1485.0
ID_ION0G0TFEO0K,pol000007778,claim0007375,40000.0,prod00015,ag00037,cob00034,rt00023,2018-06-07,ct0001,rf0001,pc0007,sc00021,br00001,547.5
ID_80XAH0VXGVO3,pol000007970,claim0008635,244000.0,prod00015,ag00068,cob00010,rt00024,2021-02-15,ct0001,rf0001,pc0015,sc00020,br00001,100100.0
ID_PNVIW77CU6IA,pol000007838,claim0007888,75000.0,prod00015,ag00037,cob00034,rt00023,2018-03-09,ct0001,rf0002,pc0007,sc00023,br00001,2293.0
ID_EDL90UT2QPYQ,pol000007821,claim0007755,8631757.76,prod00015,ag00037,cob00034,rt00023,2020-08-03,ct0001,rf0001,pc0007,sc00023,br00001,0.0
ID_EMZQG5B525JT,pol000005839,claim0001116,3610000.0,prod00015,ag00226,cob00034,rt00023,2021-05-12,ct0001,rf0003,pc0007,sc00023,br00002,1323350.0
ID_612C2NPG36SV,pol000005655,claim0000530,300000.0,prod00021,ag00068,cob00026,rt00013,2018-02-09,ct0003,rf0001,pc0004,sc00038,br00002,939.0
ID_BPI7ICMGMV73,pol000005818,claim0000930,200000.0,prod00027,ag00068,cob00031,rt00006,2019-11-18,ct0001,rf0002,pc0007,sc00004,br00002,0.0
ID_UKKSVUTKCTPB,pol000007693,claim0006605,54000.0,prod00011,ag00226,cob00015,rt00018,2019-01-14,ct0001,rf0002,pc0001,sc00008,br00001,450.0
ID_VB321Y9ZO4JW,pol000006363,claim0004596,3500.0,prod00005,ag00068,cob00009,rt00032,2019-01-28,ct0001,rf0001,pc0007,sc00023,br00002,2450.0
ID_YJPAJXXHA826,pol000010710,claim0013056,4500.0,prod00005,ag00044,cob00009,rt00032,2018-08-08,ct0003,rf0002,pc0007,sc00022,br00009,0.0
ID_M5C5BKV7ZEXV,pol000010303,claim0012501,6000.0,prod00005,ag00068,cob00009,rt00032,2018-09-07,ct0003,rf0001,pc0007,sc00021,br00007,2864.67
ID_UCV5NAQN3EAO,pol000008494,claim0009336,228000.0,prod00027,ag00068,cob00031,rt00006,2020-08-01,ct0003,rf0001,pc0007,sc00023,br00001,35615.75
ID_56QT6U0CJURL,pol000009325,claim0010374,8000.0,prod00005,ag00037,cob00009,rt00032,2018-10-31,ct0003,rf0001,pc0007,sc00023,br00001,0.0
ID_BACBF0VRTHSZ,pol000007937,claim0008268,5500.0,prod00005,ag00068,cob00009,rt00032,2018-09-11,ct0003,rf0001,pc0007,sc00025,br00002,50.0
ID_SQV6WIAO6KML,pol000006628,claim0005042,7500.0,prod00005,ag00226,cob00009,rt00032,2018-10-27,ct0003,rf0002,pc0007,sc00022,br00002,0.0
ID_6AWVYCO738BM,pol000009753,claim0011457,1100000.0,prod00015,ag00068,cob00034,rt00023,2020-02-07,ct0001,rf0002,pc0007,sc00023,br00006,21787.45
ID_K6GS3EZCCLV1,pol000009461,claim0010582,7500000.0,prod00015,ag00037,cob00034,rt00023,2021-06-20,ct0001,rf0002,pc0007,sc00004,br00005,0.0
ID_UYEZEAI0SLQF,pol000005926,claim0001836,0.0,prod00015,ag00037,cob00022,rt00025,2019-04-20,ct0001,rf0002,pc0007,sc00021,br00002,171.2
ID_8ZKOYC8Q150W,pol000007219,claim0005920,29700.0,prod00027,ag00226,cob00031,rt00006,2019-03-16,ct0003,rf0001,pc0007,sc00023,br00001,1070.0
ID_1PZO9S1GWNUN,pol000009124,claim0010142,0.0,prod00028,ag00226,cob00009,rt00033,2018-06-24,ct0003,rf0001,pc0007,sc00021,br00001,100.0
ID_YEDNHRMKOASM,pol000006093,claim0003973,480000.0,prod00015,ag00037,cob00034,rt00023,2020-05-09,ct0001,rf0001,pc0007,sc00023,br00002,0.0
ID_4FKQT9F6RUIC,pol000010108,claim0012184,0.0,prod00008,ag00068,cob00013,rt00050,2018-01-30,ct0001,rf0002,pc0012,sc00074,br00007,10653.29
ID_B86XKOER4J2Z,pol000007956,claim0008320,20000.0,prod00015,ag00083,cob00010,rt00024,2021-03-06,ct0001,rf0002,pc0007,sc00024,br00001,191021.25
ID_GOS8ZE7F2D3D,pol000009957,claim0011973,100000.0,prod00015,ag00226,cob00034,rt00023,2019-08-14,ct0002,rf0002,pc0007,sc00023,br00008,10032.52
ID_7V45TCTOYLU0,pol000010075,claim0011876,5000.0,prod00027,ag00068,cob00031,rt00006,2019-07-25,ct0003,rf0002,pc0007,sc00004,br00007,3700.0
ID_N4Q0OR5ILH9S,pol000007812,claim0007536,25000.0,prod00015,ag00226,cob00034,rt00023,2018-05-11,ct0003,rf0001,pc0007,sc00023,br00001,2714.7
ID_FUZWZ2LR4LZS,pol000009419,claim0010630,162000.0,prod00027,ag00037,cob00031,rt00006,2019-10-12,ct0003,rf0001,pc0007,sc00025,br00005,1100.05
ID_XA2LBJBFLAAV,pol000010107,claim0011943,0.0,prod00008,ag00068,cob00013,rt00050,2020-11-30,ct0001,rf0002,pc0012,sc00032,br00007,0.0
ID_SGKRMS9Q34J4,pol000006026,claim0003381,20000.0,prod00015,ag00037,cob00010,rt00023,2019-08-01,ct0001,rf0002,pc0007,sc00024,br00002,6559.0
ID_QHJZXYDRU2CU,pol000007844,claim0007857,25000.0,prod00015,ag00064,cob00034,rt00023,2018-10-15,ct0001,rf0002,pc0007,sc00023,br00001,3681.49
ID_9RSCO3NROOFB,pol000007434,claim0006229,120000.0,prod00027,ag00226,cob00031,rt00006,2020-06-13,ct0003,rf0001,pc0007,sc00031,br00001,1538.55
ID_LOBCD61MDYIA,pol000007821,claim0007646,160000.0,prod00015,ag00037,cob00034,rt00023,2018-03-17,ct0001,rf0003,pc0007,sc00023,br00001,106.67
ID_H20I2H81QT5G,pol000008580,claim0009450,15000.0,prod00027,ag00226,cob00031,rt00006,2019-08-23,ct0003,rf0001,pc0007,sc00025,br00001,80.0
ID_V06ETT06J1S9,pol000008759,claim0009663,0.0,prod00028,ag00226,cob00009,rt00033,2018-02-25,ct0003,rf0001,pc0007,sc00023,br00001,100.0
ID_GZ895SN0FO5I,pol000009830,claim0011690,5000.0,prod00005,ag00226,cob00009,rt00032,2018-05-10,ct0003,rf0002,pc0007,sc00023,br00006,0.0
ID_CUP91E1POY1X,pol000007123,claim0005877,2275000.0,prod00002,ag00068,cob00001,rt00002,2021-10-17,ct0001,rf0001,pc0002,sc00003,br00001,0.0
ID_O7BHZQRSG6V3,pol000006068,claim0003857,52500.0,prod00015,ag00226,cob00034,rt00023,2019-01-26,ct0001,rf0002,pc0007,sc00023,br00002,9004.49
ID_KXMMD75H7MYZ,pol000006000,claim0002955,500000.0,prod00015,ag00037,cob00034,rt00023,2020-04-06,ct0001,rf0002,pc0002,sc00003,br00002,1522.5
ID_L0F1THKF4JEI,pol000010801,claim0013184,0.0,prod00028,ag00044,cob00009,rt00033,2018-05-08,ct0003,rf0002,pc0007,sc00023,br00009,100.0
ID_1327CWTE0LKK,pol000010110,claim0011961,0.0,prod00008,ag00068,cob00013,rt00050,2018-10-30,ct0001,rf0002,pc0012,sc00032,br00007,14269.83
ID_WFEHTVMY2QVJ,pol000007723,claim0006969,664080.0,prod00015,ag00021,cob00034,rt00023,2019-01-26,ct0001,rf0001,pc0007,sc00023,br00001,101290.0
ID_W3I2KLT1V8KY,pol000008913,claim0009865,7000.0,prod00005,ag00068,cob00009,rt00032,2018-02-13,ct0003,rf0001,pc0002,sc00003,br00001,99.0
ID_ACVS3FUAXFDM,pol000010207,claim0012150,2268000.0,prod00015,ag00068,cob00034,rt00023,2020-01-30,ct0001,rf0003,pc0007,sc00004,br00007,3763.13
ID_TTDLG096YJ6A,pol000008664,claim0009551,15000.0,prod00005,ag00226,cob00009,rt00032,2018-11-18,ct0003,rf0002,pc0007,sc00021,br00001,10100.0
ID_I8TNG65CSKUQ,pol000005960,claim0002449,258300.0,prod00015,ag00037,cob00034,rt00023,2019-10-29,ct0001,rf0002,pc0017,sc00004,br00002,0.0
ID_PH9I3BQLQMOV,pol000005854,claim0001269,0.0,prod00015,ag00068,cob00022,rt00025,2018-02-16,ct0001,rf0001,pc0007,sc00023,br00002,65.76
ID_QCL2I14PL9G2,pol000009371,claim0010533,2400000.0,prod00002,ag00064,cob00003,rt00002,2021-02-01,ct0001,rf0002,pc0002,sc00004,br00005,72000.0
ID_M02SBBYFZQDV,pol000009519,claim0010845,120000.0,prod00027,ag00068,cob00031,rt00006,2020-02-07,ct0003,rf0001,pc0007,sc00029,br00001,28310.12
ID_H9KQ357Q5R2U,pol000008891,claim0009835,7000.0,prod00005,ag00037,cob00009,rt00032,2018-05-13,ct0003,rf0001,pc0007,sc00021,br00001,269.25
ID_S0U49AHWKXDQ,pol000005587,claim0000442,60000.0,prod00027,ag00068,cob00031,rt00006,2019-10-11,ct0003,rf0001,pc0007,sc00023,br00003,0.0
ID_8KL7J45F0FBW,pol000008059,claim0008712,3000.0,prod00029,ag00226,cob00010,rt00026,2019-02-08,ct0003,rf0004,pc0007,sc00024,br00001,2225.25
ID_1Y38KPOIJZTA,pol000009500,claim0010717,100000.0,prod00015,ag00064,cob00034,rt00023,2019-03-08,ct0001,rf0002,pc0007,sc00029,br00005,2453.0
ID_54B9OSXYS026,pol000009106,claim0010117,5000.0,prod00005,ag00226,cob00009,rt00032,2018-07-08,ct0003,rf0001,pc0007,sc00022,br00001,325.0
ID_1DU3YQQA7CO4,pol000005398,claim0000182,10000.0,prod00002,ag00037,cob00003,rt00002,2019-10-26,ct0001,rf0002,pc0002,sc00016,br00002,5445.9
ID_6X1Z0025AIOW,pol000006008,claim0003039,30000.0,prod00015,ag00064,cob00034,rt00023,2018-05-29,ct0001,rf0002,pc0007,sc00023,br00002,317.25
ID_FEOX5V0K87E4,pol000006257,claim0004428,400000.0,prod00019,ag00037,cob00024,rt00028,2018-10-18,ct0003,rf0002,pc0001,sc00008,br00002,52731.0
ID_QNG92KET7MPF,pol000005917,claim0001668,40000.0,prod00015,ag00226,cob00034,rt00023,2018-08-07,ct0001,rf0001,pc0007,sc00029,br00002,21875.0
ID_EUXMVYRICTR1,pol000009267,claim0010301,0.0,prod00028,ag00226,cob00009,rt00033,2019-03-25,ct0003,rf0002,pc0002,sc00003,br00001,13.18
ID_BE4TF39O00YF,pol000009079,claim0010077,5000.0,prod00005,ag00064,cob00009,rt00032,2018-06-04,ct0001,rf0001,pc0007,sc00021,br00001,910.8
ID_P9U7FXH5A76M,pol000005993,claim0002974,65000.0,prod00015,ag00068,cob00034,rt00023,2018-08-06,ct0001,rf0002,pc0007,sc00021,br00002,4052.47
ID_31TZYBMPPA3H,pol000007723,claim0006866,26924030.0,prod00015,ag00021,cob00034,rt00023,2021-02-02,ct0001,rf0005,pc0007,sc00021,br00001,18081.0
ID_GQ7UWZF51VKL,pol000005743,claim0000675,52666.0,prod00012,ag00226,cob00016,rt00015,2018-05-03,ct0001,rf0002,pc0011,sc00048,br00002,0.0
ID_JBP79WVMUPWA,pol000007208,claim0005906,72000.0,prod00027,ag00226,cob00031,rt00006,2020-02-15,ct0003,rf0004,pc0007,sc00025,br00001,809.24
ID_BSBSFX7I64XG,pol000008014,claim0008740,16320000.0,prod00015,ag00037,cob00034,rt00023,2021-06-06,ct0001,rf0001,pc0007,sc00021,br00001,64450.57
ID_D9W4Q9P0CKBM,pol000007978,claim0008640,7750000.0,prod00015,ag00021,cob00034,rt00023,2020-07-15,ct0001,rf0001,pc0007,sc00021,br00001,7469.38
ID_D04T40DO19PF,pol000005908,claim0001604,4800000.0,prod00015,ag00068,cob00034,rt00023,2021-09-18,ct0001,rf0001,pc0007,sc00024,br00002,0.0
ID_3SH0KOBWAR1H,pol000009408,claim0013605,244000.0,prod00027,ag00226,cob00010,rt00006,2021-02-15,ct0003,rf0001,pc0007,sc00024,br00005,165000.0
ID_9RA7H08BYLG6,pol000011049,claim0013875,0.0,prod00008,ag00068,cob00013,rt00050,2020-07-24,ct0001,rf0002,pc0012,sc00034,br00007,2604.8
ID_A73IJE344OHT,pol000005926,claim0002101,0.0,prod00015,ag00037,cob00022,rt00025,2019-12-24,ct0001,rf0003,pc0007,sc00022,br00002,0.0
ID_4BFI4MYOLIU6,pol000010085,claim0011887,5000.0,prod00027,ag00226,cob00031,rt00006,2019-05-21,ct0003,rf0001,pc0007,sc00004,br00008,3712.3
ID_0PX0VGDQV0PK,pol000006498,claim0004778,45000.0,prod00005,ag00068,cob00010,rt00032,2019-04-26,ct0003,rf0002,pc0007,sc00024,br00002,1210.95
ID_F3G72XSJ8KQW,pol000006035,claim0003646,60000.0,prod00015,ag00068,cob00010,rt00023,2019-02-04,ct0001,rf0002,pc0007,sc00024,br00002,6873.28
ID_I1WBEUDB4Q6J,pol000005980,claim0002834,80000.0,prod00015,ag00037,cob00034,rt00023,2018-10-27,ct0001,rf0002,pc0007,sc00024,br00002,0.0
ID_QOSDDX2BZ2ZI,pol000010732,claim0013082,0.0,prod00028,ag00044,cob00009,rt00033,2018-05-19,ct0003,rf0002,pc0007,sc00023,br00009,190.04
ID_LL3AAYXKZC5A,pol000005951,claim0002170,1001280.0,prod00015,ag00037,cob00034,rt00023,2020-03-13,ct0001,rf0002,pc0007,sc00023,br00002,8553.6
ID_CVCGZ7F51M8A,pol000005707,claim0000612,25171089.0,prod00021,ag00037,cob00026,rt00013,2021-02-23,ct0001,rf0003,pc0001,sc00008,br00002,138080.81
ID_2L4REYFYHF0W,pol000009276,claim0010310,18000.0,prod00005,ag00226,cob00009,rt00032,2018-11-04,ct0003,rf0001,pc0007,sc00024,br00001,6937.37
ID_00NTDN6CATIJ,pol000009140,claim0010160,6000.0,prod00005,ag00226,cob00009,rt00032,2018-06-30,ct0003,rf0002,pc0007,sc00021,br00001,240.63
ID_5BBBF72HSDZA,pol000010960,claim0013585,8000.0,prod00005,ag00064,cob00009,rt00032,2018-10-31,ct0003,rf0002,pc0007,sc00023,br00001,0.0
ID_JM2YVUG6INNA,pol000007418,claim0006210,450000.0,prod00027,ag00068,cob00031,rt00006,2020-05-10,ct0001,rf0001,pc0007,sc00023,br00001,4321.67
ID_BDWFAHGJD49W,pol000005828,claim0000992,592364.0,prod00015,ag00037,cob00034,rt00023,2019-08-21,ct0001,rf0002,pc0007,sc00023,br00002,0.0
ID_4Z4Q23MICXIR,pol000009290,claim0010328,6500.0,prod00005,ag00037,cob00009,rt00032,2018-12-06,ct0003,rf0001,pc0007,sc00023,br00001,0.0
ID_PK9L8AMYC5KN,pol000009635,claim0011095,1232500.0,prod00002,ag00064,cob00001,rt00002,2021-07-01,ct0001,rf0002,pc0003,sc00004,br00006,700140.4
ID_WW9WJ43RSEZJ,pol000007754,claim0007252,108000.0,prod00015,ag00064,cob00034,rt00023,2020-01-14,ct0001,rf0001,pc0002,sc00053,br00001,0.0
ID_WJ3CWI0MV4F1,pol000007118,claim0005772,124000000.0,prod00002,ag00037,cob00004,rt00001,2019-05-23,ct0001,rf0002,pc0003,sc00004,br00001,0.0
ID_FAWL99JPB59Y,pol000006026,claim0003597,1000000.0,prod00015,ag00037,cob00033,rt00023,2021-06-08,ct0001,rf0002,pc0007,sc00021,br00002,40950.0
ID_MNRG3JK1V5EC,pol000005944,claim0002465,5780000.0,prod00015,ag00226,cob00034,rt00023,2021-03-20,ct0001,rf0003,pc0007,sc00023,br00002,75844.8
ID_VCXNJXHROWFY,pol000008771,claim0009679,5000.0,prod00005,ag00064,cob00009,rt00032,2018-02-06,ct0003,rf0001,pc0007,sc00021,br00001,0.0
ID_6NKRBX290W2W,pol000009316,claim0010358,7000.0,prod00005,ag00226,cob00009,rt00032,2018-10-26,ct0003,rf0001,pc0007,sc00023,br00001,2668.5
ID_J0LVIX4ELBRC,pol000007844,claim0012996,0.0,prod00015,ag00064,cob00022,rt00025,2020-02-08,ct0001,rf0001,pc0007,sc00023,br00001,1200.0
ID_AAMNT4BOSG7N,pol000005905,claim0001574,0.0,prod00015,ag00068,cob00022,rt00025,2018-01-17,ct0001,rf0001,pc0007,sc00021,br00002,119.6
ID_GNSJJLX3ZEDI,pol000005794,claim0000787,1000000.0,prod00011,ag00037,cob00018,rt00019,2020-01-08,ct0003,rf0002,pc0001,sc00013,br00002,14593.97
ID_MIQT8TCKV57P,pol000005424,claim0000224,2160000.0,prod00027,ag00226,cob00031,rt00006,2021-08-24,ct0003,rf0002,pc0007,sc00023,br00002,32400.0
ID_KI6W599M5N9O,pol000010495,claim0013955,20000.0,prod00005,ag00068,cob00009,rt00032,2018-10-18,ct0003,rf0001,pc0007,sc00023,br00007,756.65
ID_F5BJHPD406E7,pol000008773,claim0009683,10000.0,prod00005,ag00226,cob00010,rt00032,2018-08-28,ct0003,rf0002,pc0007,sc00024,br00001,0.0
