policy_number,product_code,trans_date,from_date,to_date,agent,class_of_business,client_type,renewal_frequency,branch
pol000009553,prod00005,2017-07-01 14:07:46.860,2017-07-23 00:00:00.000,2017-11-22 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00005
pol000009553,prod00005,2017-07-01 14:07:46.860,2017-07-23 00:00:00.000,2017-11-22 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00005
pol000011017,prod00005,2017-07-03 08:57:34.097,2017-07-04 00:00:00.000,2017-11-03 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00006
pol000011017,prod00005,2017-07-03 08:57:34.097,2017-07-04 00:00:00.000,2017-11-03 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00006
pol000008095,prod00005,2017-07-03 09:43:42.980,2017-07-03 00:00:00.000,2018-03-02 00:00:00.000,ag00143,cob00031,ct0003,rf0002,br00001
pol000008095,prod00005,2017-07-03 09:43:42.980,2017-07-03 00:00:00.000,2018-03-02 00:00:00.000,ag00143,cob00009,ct0003,rf0002,br00001
pol000005813,prod00015,2017-07-03 09:46:34.260,2017-07-01 00:00:00.000,2017-11-01 00:00:00.000,ag00011,cob00034,ct0001,rf0001,br00002
pol000006204,prod00005,2017-07-03 11:30:49.690,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00050,cob00009,ct0003,rf0002,br00002
pol000006204,prod00005,2017-07-03 11:30:49.690,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00050,cob00031,ct0003,rf0002,br00002
pol000006205,prod00005,2017-07-03 12:32:14.760,2017-07-08 00:00:00.000,2018-07-07 00:00:00.000,ag00009,cob00009,ct0003,rf0002,br00002
pol000006205,prod00005,2017-07-03 12:32:14.760,2017-07-08 00:00:00.000,2018-07-07 00:00:00.000,ag00009,cob00031,ct0003,rf0002,br00002
pol000008097,prod00005,2017-07-03 13:02:47.537,2017-07-03 00:00:00.000,2017-11-03 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008097,prod00005,2017-07-03 13:02:47.537,2017-07-03 00:00:00.000,2017-11-03 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000005712,prod00012,2017-07-03 16:21:16.340,2017-07-01 00:00:00.000,2018-06-01 00:00:00.000,ag00007,cob00016,ct0001,rf0002,br00002
pol000007649,prod00012,2017-07-03 16:21:31.933,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00226,cob00016,ct0001,rf0003,br00001
pol000009830,prod00005,2017-07-03 18:39:35.030,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00120,cob00009,ct0003,rf0002,br00006
pol000009830,prod00005,2017-07-03 18:39:35.030,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00120,cob00031,ct0003,rf0002,br00006
pol000009831,prod00005,2017-07-03 19:39:17.260,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00172,cob00009,ct0003,rf0001,br00006
pol000009831,prod00005,2017-07-03 19:39:17.260,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00172,cob00031,ct0003,rf0001,br00006
pol000006155,prod00018,2017-07-04 08:51:52.250,2017-07-01 00:00:00.000,2018-05-31 00:00:00.000,ag00007,cob00023,ct0001,rf0002,br00002
pol000006208,prod00005,2017-07-04 10:10:11.280,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00005,cob00031,ct0003,rf0002,br00002
pol000006208,prod00005,2017-07-04 10:10:11.280,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00005,cob00009,ct0003,rf0002,br00002
pol000008102,prod00005,2017-07-04 11:02:23.223,2017-07-01 00:00:00.000,2017-12-31 00:00:00.000,ag00101,cob00009,ct0003,rf0004,br00001
pol000008102,prod00005,2017-07-04 11:02:23.223,2017-07-01 00:00:00.000,2017-12-31 00:00:00.000,ag00101,cob00031,ct0003,rf0004,br00001
pol000008103,prod00005,2017-07-04 11:45:31.980,2017-07-15 00:00:00.000,2017-11-14 00:00:00.000,ag00195,cob00009,ct0003,rf0001,br00001
pol000008103,prod00005,2017-07-04 11:45:31.980,2017-07-15 00:00:00.000,2017-11-14 00:00:00.000,ag00195,cob00031,ct0003,rf0001,br00001
pol000010237,prod00005,2017-07-04 12:42:11.743,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00043,cob00009,ct0003,rf0002,br00007
pol000010237,prod00005,2017-07-04 12:42:11.743,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00043,cob00031,ct0003,rf0002,br00007
pol000005639,prod00021,2017-07-04 13:01:30.037,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00005,cob00026,ct0003,rf0003,br00002
pol000005639,prod00021,2017-07-04 13:01:30.037,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00005,cob00027,ct0003,rf0003,br00002
pol000008176,prod00005,2017-07-04 13:08:10.133,2017-07-04 00:00:00.000,2017-11-03 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008176,prod00005,2017-07-04 13:08:10.133,2017-07-04 00:00:00.000,2017-11-03 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008104,prod00005,2017-07-04 13:10:54.543,2017-07-04 00:00:00.000,2017-11-03 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008104,prod00005,2017-07-04 13:10:54.543,2017-07-04 00:00:00.000,2017-11-03 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000010238,prod00005,2017-07-04 14:25:21.470,2017-07-11 00:00:00.000,2018-07-10 00:00:00.000,ag00043,cob00031,ct0003,rf0002,br00007
pol000010238,prod00005,2017-07-04 14:25:21.470,2017-07-11 00:00:00.000,2018-07-10 00:00:00.000,ag00043,cob00009,ct0003,rf0002,br00007
pol000006277,prod00005,2017-07-04 14:33:59.537,2017-07-03 00:00:00.000,2017-10-31 00:00:00.000,ag00011,cob00009,ct0003,rf0001,br00002
pol000006277,prod00005,2017-07-04 14:33:59.537,2017-07-03 00:00:00.000,2017-10-31 00:00:00.000,ag00011,cob00031,ct0003,rf0001,br00002
pol000006210,prod00005,2017-07-04 14:47:03.550,2017-07-01 00:00:00.000,2017-12-31 00:00:00.000,ag00007,cob00031,ct0003,rf0004,br00002
pol000006210,prod00005,2017-07-04 14:47:03.550,2017-07-01 00:00:00.000,2017-12-31 00:00:00.000,ag00007,cob00009,ct0003,rf0004,br00002
pol000005677,prod00001,2017-07-04 15:35:09.137,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00005,cob00004,ct0001,rf0002,br00002
pol000008105,prod00005,2017-07-05 09:38:01.570,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00022,cob00031,ct0003,rf0001,br00001
pol000008105,prod00005,2017-07-05 09:38:01.570,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00022,cob00009,ct0003,rf0001,br00001
pol000009832,prod00005,2017-07-05 10:20:32.540,2017-07-05 00:00:00.000,2017-11-04 00:00:00.000,ag00122,cob00031,ct0003,rf0001,br00006
pol000009832,prod00005,2017-07-05 10:20:32.540,2017-07-05 00:00:00.000,2017-11-04 00:00:00.000,ag00122,cob00009,ct0003,rf0001,br00006
pol000008106,prod00005,2017-07-05 10:56:27.737,2017-07-18 00:00:00.000,2017-11-17 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008106,prod00005,2017-07-05 10:56:27.737,2017-07-18 00:00:00.000,2017-11-17 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008107,prod00005,2017-07-05 12:39:28.657,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008107,prod00005,2017-07-05 12:39:28.657,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000006156,prod00018,2017-07-05 15:45:37.260,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00006,cob00023,ct0001,rf0001,br00002
pol000008189,prod00005,2017-07-05 16:56:55.947,2017-07-07 00:00:00.000,2017-11-06 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008189,prod00005,2017-07-05 16:56:55.947,2017-07-07 00:00:00.000,2017-11-06 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000005333,prod00002,2017-07-06 08:34:44.023,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00006,cob00004,ct0001,rf0001,br00002
pol000009729,prod00021,2017-07-06 08:42:16.030,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00032,cob00026,ct0003,rf0001,br00006
pol000005743,prod00012,2017-07-06 09:05:42.763,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00006,cob00016,ct0001,rf0001,br00002
pol000005815,prod00015,2017-07-06 09:42:19.220,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00008,cob00034,ct0003,rf0002,br00002
pol000009833,prod00005,2017-07-06 09:47:38.310,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00225,cob00031,ct0003,rf0002,br00006
pol000009833,prod00005,2017-07-06 09:47:38.310,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00225,cob00009,ct0003,rf0002,br00006
pol000005817,prod00015,2017-07-06 09:55:43.667,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00006,cob00034,ct0001,rf0001,br00002
pol000009833,prod00005,2017-07-06 10:17:39.613,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00225,cob00009,ct0003,rf0002,br00006
pol000009973,prod00005,2017-07-06 10:22:06.423,2017-07-03 00:00:00.000,2017-11-02 00:00:00.000,ag00080,cob00009,ct0003,rf0001,br00008
pol000009973,prod00005,2017-07-06 10:22:06.423,2017-07-03 00:00:00.000,2017-11-02 00:00:00.000,ag00080,cob00031,ct0003,rf0001,br00008
pol000009958,prod00005,2017-07-06 12:26:57.820,2017-07-05 00:00:00.000,2017-11-04 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00006
pol000009958,prod00005,2017-07-06 12:26:57.820,2017-07-05 00:00:00.000,2017-11-04 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00006
pol000006278,prod00005,2017-07-06 12:31:52.690,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00007,cob00031,ct0003,rf0003,br00002
pol000006278,prod00005,2017-07-06 12:31:52.690,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00007,cob00009,ct0003,rf0003,br00002
pol000005335,prod00002,2017-07-06 14:51:24.377,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00007,cob00004,ct0001,rf0001,br00002
pol000005335,prod00002,2017-07-06 14:51:24.377,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00007,cob00001,ct0001,rf0001,br00002
pol000005716,prod00012,2017-07-06 15:42:21.187,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00007,cob00016,ct0001,rf0001,br00002
pol000010239,prod00028,2017-07-07 09:38:27.897,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00043,cob00009,ct0003,rf0002,br00007
pol000010653,prod00005,2017-07-07 10:58:40.153,2017-07-07 00:00:00.000,2017-11-05 00:00:00.000,ag00044,cob00031,ct0003,rf0001,br00009
pol000010653,prod00005,2017-07-07 10:58:40.153,2017-07-07 00:00:00.000,2017-11-05 00:00:00.000,ag00044,cob00009,ct0003,rf0001,br00009
pol000010654,prod00028,2017-07-07 11:14:43.523,2017-07-07 00:00:00.000,2017-11-05 00:00:00.000,ag00044,cob00009,ct0003,rf0001,br00009
pol000010312,prod00005,2017-07-07 12:02:30.717,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00043,cob00009,ct0003,rf0003,br00007
pol000010312,prod00005,2017-07-07 12:02:30.717,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00043,cob00031,ct0003,rf0003,br00007
pol000010312,prod00005,2017-07-07 12:23:56.940,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00043,cob00031,ct0003,rf0003,br00007
pol000010312,prod00005,2017-07-07 12:23:56.940,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00043,cob00009,ct0003,rf0003,br00007
pol000009836,prod00005,2017-07-07 13:41:35.457,2017-07-07 00:00:00.000,2018-07-06 00:00:00.000,ag00123,cob00031,ct0003,rf0002,br00006
pol000009836,prod00005,2017-07-07 13:41:35.457,2017-07-07 00:00:00.000,2018-07-06 00:00:00.000,ag00123,cob00009,ct0003,rf0002,br00006
pol000008110,prod00005,2017-07-07 14:17:30.053,2017-07-08 00:00:00.000,2018-07-07 00:00:00.000,ag00020,cob00031,ct0001,rf0002,br00001
pol000008110,prod00005,2017-07-07 14:17:30.053,2017-07-08 00:00:00.000,2018-07-07 00:00:00.000,ag00020,cob00009,ct0001,rf0002,br00001
pol000006157,prod00018,2017-07-07 14:51:26.360,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00226,cob00023,ct0001,rf0003,br00002
pol000005699,prod00021,2017-07-07 16:23:46.650,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00006,cob00027,ct0001,rf0001,br00002
pol000005699,prod00021,2017-07-07 16:23:46.650,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00006,cob00026,ct0001,rf0001,br00002
pol000010240,prod00005,2017-07-07 18:21:12.643,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00043,cob00009,ct0003,rf0001,br00007
pol000010240,prod00005,2017-07-07 18:21:12.643,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00043,cob00031,ct0003,rf0001,br00007
pol000010241,prod00028,2017-07-07 18:54:27.183,2017-07-11 00:00:00.000,2018-07-10 00:00:00.000,ag00043,cob00009,ct0003,rf0002,br00007
pol000008113,prod00005,2017-07-10 09:22:24.053,2017-07-07 00:00:00.000,2017-11-06 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008113,prod00005,2017-07-10 09:22:24.053,2017-07-07 00:00:00.000,2017-11-06 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008117,prod00005,2017-07-10 13:50:22.100,2017-07-10 00:00:00.000,2017-11-09 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008117,prod00005,2017-07-10 13:50:22.100,2017-07-10 00:00:00.000,2017-11-09 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000009838,prod00005,2017-07-10 14:25:07.110,2017-07-02 00:00:00.000,2017-11-01 00:00:00.000,ag00012,cob00031,ct0003,rf0001,br00006
pol000009838,prod00005,2017-07-10 14:25:07.110,2017-07-02 00:00:00.000,2017-11-01 00:00:00.000,ag00012,cob00009,ct0003,rf0001,br00006
pol000006281,prod00005,2017-07-10 15:04:39.300,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00009,cob00031,ct0003,rf0001,br00002
pol000006281,prod00005,2017-07-10 15:04:39.300,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00009,cob00009,ct0003,rf0001,br00002
pol000008118,prod00005,2017-07-10 17:07:28.293,2017-07-10 00:00:00.000,2017-11-10 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008118,prod00005,2017-07-10 17:07:28.293,2017-07-10 00:00:00.000,2017-11-10 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008119,prod00005,2017-07-10 17:57:04.790,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00023,cob00031,ct0003,rf0001,br00001
pol000008119,prod00005,2017-07-10 17:57:04.790,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00023,cob00009,ct0003,rf0001,br00001
pol000008121,prod00005,2017-07-10 18:40:39.360,2017-07-04 00:00:00.000,2018-01-03 00:00:00.000,ag00226,cob00009,ct0003,rf0004,br00001
pol000008121,prod00005,2017-07-10 18:40:39.360,2017-07-04 00:00:00.000,2018-01-03 00:00:00.000,ag00226,cob00031,ct0003,rf0004,br00001
pol000008122,prod00028,2017-07-10 19:14:26.830,2017-07-08 00:00:00.000,2018-07-07 00:00:00.000,ag00020,cob00009,ct0001,rf0002,br00001
pol000007731,prod00005,2017-07-11 08:37:52.680,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00007,cob00009,ct0003,rf0003,br00002
pol000007731,prod00005,2017-07-11 08:37:52.680,2017-07-01 00:00:00.000,2017-09-30 00:00:00.000,ag00007,cob00031,ct0003,rf0003,br00002
pol000005744,prod00012,2017-07-11 08:38:29.370,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00050,cob00016,ct0001,rf0002,br00002
pol000005824,prod00015,2017-07-11 09:13:12.377,2017-07-01 00:00:00.000,2018-06-30 00:00:00.000,ag00007,cob00034,ct0001,rf0002,br00002
pol000008025,prod00029,2017-07-11 09:56:46.640,2017-07-11 00:00:00.000,2017-11-10 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008126,prod00005,2017-07-11 11:34:22.473,2017-07-11 00:00:00.000,2017-11-10 00:00:00.000,ag00213,cob00009,ct0003,rf0001,br00001
pol000008126,prod00005,2017-07-11 11:34:22.473,2017-07-11 00:00:00.000,2017-11-10 00:00:00.000,ag00213,cob00031,ct0003,rf0001,br00001
pol000008127,prod00028,2017-07-11 13:41:57.883,2017-07-11 00:00:00.000,2017-11-10 00:00:00.000,ag00213,cob00009,ct0003,rf0001,br00001
pol000005813,prod00015,2017-07-11 14:42:43.147,2017-07-04 00:00:00.000,2017-11-01 00:00:00.000,ag00011,cob00034,ct0001,rf0001,br00002
pol000007702,prod00014,2017-07-11 15:16:01.420,2017-07-06 00:00:00.000,2018-01-05 00:00:00.000,ag00001,cob00004,ct0001,rf0004,br00001
pol000008191,prod00005,2017-07-11 15:53:44.407,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008191,prod00005,2017-07-11 15:53:44.407,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008128,prod00005,2017-07-11 18:10:52.613,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008128,prod00005,2017-07-11 18:10:52.613,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008192,prod00005,2017-07-11 18:22:26.430,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00143,cob00031,ct0003,rf0001,br00001
pol000008192,prod00005,2017-07-11 18:22:26.430,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00143,cob00009,ct0003,rf0001,br00001
pol000010839,prod00028,2017-07-11 18:27:28.713,2017-07-07 00:00:00.000,2017-11-06 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000007706,prod00015,2017-07-11 18:58:03.860,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00143,cob00034,ct0003,rf0001,br00001
pol000010317,prod00005,2017-07-11 19:18:51.580,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00043,cob00031,ct0003,rf0001,br00007
pol000010317,prod00005,2017-07-11 19:18:51.580,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00043,cob00009,ct0003,rf0001,br00007
pol000008129,prod00005,2017-07-11 19:27:54.440,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008129,prod00005,2017-07-11 19:27:54.440,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008130,prod00005,2017-07-12 08:18:13.740,2017-08-01 00:00:00.000,2017-11-30 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008130,prod00005,2017-07-12 08:18:13.740,2017-08-01 00:00:00.000,2017-11-30 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008131,prod00005,2017-07-12 08:24:38.297,2017-07-25 00:00:00.000,2017-11-24 00:00:00.000,ag00188,cob00031,ct0003,rf0001,br00001
pol000008131,prod00005,2017-07-12 08:24:38.297,2017-07-25 00:00:00.000,2017-11-24 00:00:00.000,ag00188,cob00009,ct0003,rf0001,br00001
pol000008132,prod00028,2017-07-12 08:27:36.490,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008133,prod00028,2017-07-12 08:33:30.947,2017-08-01 00:00:00.000,2017-11-30 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008130,prod00005,2017-07-12 08:47:58.617,2017-08-01 00:00:00.000,2017-11-30 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008130,prod00005,2017-07-12 08:47:58.617,2017-08-01 00:00:00.000,2017-11-30 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008134,prod00005,2017-07-12 09:05:18.583,2017-07-10 00:00:00.000,2017-11-09 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008134,prod00005,2017-07-12 09:05:18.583,2017-07-10 00:00:00.000,2017-11-09 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008135,prod00028,2017-07-12 09:16:04.873,2017-07-10 00:00:00.000,2017-11-09 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008136,prod00005,2017-07-12 10:22:37.250,2017-07-06 00:00:00.000,2017-11-30 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008136,prod00005,2017-07-12 10:22:37.250,2017-07-06 00:00:00.000,2017-11-30 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000008138,prod00005,2017-07-12 13:59:27.137,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00143,cob00009,ct0003,rf0001,br00001
pol000008138,prod00005,2017-07-12 13:59:27.137,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00143,cob00031,ct0003,rf0001,br00001
pol000008139,prod00028,2017-07-12 15:50:37.203,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008194,prod00005,2017-07-12 18:22:58.913,2017-07-06 00:00:00.000,2018-03-05 00:00:00.000,ag00226,cob00031,ct0003,rf0004,br00001
pol000008194,prod00005,2017-07-12 18:22:58.913,2017-07-06 00:00:00.000,2018-03-05 00:00:00.000,ag00226,cob00009,ct0003,rf0004,br00001
pol000008140,prod00005,2017-07-12 18:37:03.260,2017-08-02 00:00:00.000,2017-12-01 00:00:00.000,ag00226,cob00009,ct0003,rf0001,br00001
pol000008140,prod00005,2017-07-12 18:37:03.260,2017-08-02 00:00:00.000,2017-12-01 00:00:00.000,ag00226,cob00031,ct0003,rf0001,br00001
pol000010840,prod00005,2017-07-12 18:57:40.300,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00001,cob00009,ct0003,rf0001,br00001
pol000010840,prod00005,2017-07-12 18:57:40.300,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00001,cob00031,ct0003,rf0001,br00001
pol000008141,prod00028,2017-07-12 19:09:06.183,2017-07-01 00:00:00.000,2017-10-31 00:00:00.000,ag00001,cob00009,ct0003,rf0001,br00001
pol000008195,prod00005,2017-07-12 19:12:04.070,2017-07-15 00:00:00.000,2017-11-14 00:00:00.000,ag00136,cob00009,ct0003,rf0001,br00001
pol000008195,prod00005,2017-07-12 19:12:04.070,2017-07-15 00:00:00.000,2017-11-14 00:00:00.000,ag00136,cob00031,ct0003,rf0001,br00001
pol000008196,prod00028,2017-07-12 19:14:11.730,2017-07-06 00:00:00.000,2018-03-05 00:00:00.000,ag00226,cob00009,ct0003,rf0004,br00001
pol000008197,prod00028,2017-07-12 19:19:41.340,2017-07-15 00:00:00.000,2017-11-14 00:00:00.000,ag00136,cob00009,ct0003,rf0001,br00001
